47	5
47	5
46	5
48	4
48	5
48	6
47	6
47	6
47	6
48	5
49	5
48	6
46	7
47	6
46	6
47	7
47	7
47	7
47	7
48	7
47	6
47	7
47	8
47	8
46	8
46	8
47	7
47	8
46	9
46	9
47	8
46	9
45	9
46	9
46	9
45	9
45	9
46	10
45	10
46	10
46	10
46	11
45	11
46	11
45	11
46	10
46	10
46	11
45	12
45	12
45	12
45	13
45	12
45	12
45	13
45	13
45	13
46	13
46	12
46	12
46	13
46	13
44	14
44	15
44	15
45	14
46	14
46	15
45	16
44	15
44	15
44	16
45	16
45	16
46	16
45	17
45	17
45	17
46	18
47	18
45	19
45	19
47	18
47	18
46	19
46	20
46	19
47	20
47	20
48	20
47	20
46	22
47	21
47	20
48	20
48	21
48	20
46	22
47	23
46	21
45	19
45	25
46	26
47	26
47	23
46	23
46	25
46	25
47	22
48	18
47	24
45	29
46	30
48	26
51	19
47	22
44	33
45	30
47	25
48	19
47	25
46	29
46	26
46	31
46	34
46	34
47	34
46	34
48	28
49	23
45	35
44	36
47	35
47	30
47	24
47	27
47	29
46	36
45	36
40	42
42	42
41	40
41	36
42	38
43	36
42	37
42	41
42	41
43	41
43	36
46	37
50	40
44	39
50	31
50	35
37	42
35	44
32	45
31	46
36	44
38	45
39	42
37	43
39	44
40	40
43	29
43	35
38	45
33	50
35	48
38	43
41	43
42	45
41	46
38	45
36	41
36	48
38	48
41	48
45	49
42	48
41	47
42	38
39	38
36	45
35	51
38	49
38	47
38	51
35	51
40	46
47	22
40	49
38	62
41	40
52	22
46	42
38	30
32	48
26	68
25	65
45	48
53	12
36	31
37	66
33	64
23	63
46	8
34	43
45	73
44	36
25	67
28	86
42	65
52	22
34	69
49	52
47	69
40	72
55	-12
54	9
51	56
74	-16
61	14
29	57
43	20
45	54
20	101
42	67
58	-8
53	57
51	44
30	88
39	78
31	61
47	63
52	32
62	48
42	66
63	59
61	19
36	64
39	80
32	87
40	79
35	74
48	64
61	40
47	73
55	46
33	95
64	30
39	75
39	86
36	83
49	63
48	75
45	76
47	69
47	72
44	78
43	78
50	74
47	73
43	77
44	77
43	78
42	77
43	74
45	75
45	76
42	77
41	75
41	75
39	74
44	71
45	72
43	73
41	74
36	75
35	72
43	70
43	75
36	74
37	68
35	70
33	69
22	72
20	73
16	73
24	74
15	75
19	71
19	71
17	73
20	74
19	73
21	71
22	70
24	68
26	67
24	66
27	68
30	66
18	66
18	66
28	65
12	67
11	66
24	62
23	61
10	64
9	68
12	66
12	65
16	63
17	63
18	62
19	62
19	60
20	59
26	60
14	61
15	59
15	60
10	60
13	60
17	61
21	60
18	58
8	61
12	58
17	59
5	62
14	60
19	59
19	60
13	61
17	60
21	58
23	58
13	61
15	59
16	59
17	58
14	58
14	59
17	60
19	57
17	59
18	60
20	59
24	59
18	59
16	59
16	59
18	58
18	59
19	58
19	58
18	60
15	59
17	60
23	58
30	57
25	61
17	61
10	60
14	60
13	59
15	60
18	60
19	59
18	58
20	58
20	59
22	57
22	57
23	57
20	58
20	57
22	56
25	55
23	55
22	55
23	51
24	54
24	56
23	54
25	53
25	54
25	52
25	55
26	54
26	51
25	56
26	56
26	55
26	57
26	53
25	54
26	51
26	53
26	53
26	56
26	54
26	55
27	54
27	52
26	50
26	55
27	54
27	54
27	54
27	53
27	53
28	54
29	53
30	48
30	52
27	56
27	55
28	54
26	54
28	52
29	49
28	50
28	53
29	52
28	53
28	53
29	52
30	52
30	50
29	49
30	49
29	50
30	50
30	48
31	49
31	49
30	51
31	45
29	50
30	52
31	49
31	50
30	50
30	49
32	48
32	47
31	49
31	48
32	49
32	48
31	49
31	49
31	48
32	46
32	45
33	42
32	46
32	49
33	48
31	47
31	46
32	46
32	45
33	45
33	43
31	45
31	45
