-90	-61
-65	-49
-24	-39
-69	-62
-73	-60
-17	-39
-45	-53
-77	-61
-31	-42
-28	-48
-74	-64
-47	-46
-9	-35
-59	-55
-66	-52
-17	-34
-51	-53
-82	-59
-34	-37
-36	-47
-82	-65
-52	-49
-18	-38
-67	-57
-65	-53
-13	-38
-46	-57
-75	-65
-22	-43
-23	-50
-67	-64
-37	-50
-8	-45
-60	-68
-58	-64
-9	-45
-47	-63
-72	-64
-23	-41
-28	-49
-71	-64
-36	-47
-9	-40
-62	-61
-60	-55
-12	-35
-49	-51
-67	-53
-14	-32
-26	-41
-70	-56
-33	-38
-7	-35
-60	-59
-51	-50
-2	-33
-42	-54
-63	-58
-8	-34
-20	-44
-64	-56
-26	-35
-5	-32
-59	-53
-47	-45
2	-27
-40	-45
-59	-47
-7	-29
-24	-42
-65	-54
-26	-35
-11	-34
-65	-51
-49	-39
-1	-26
-46	-47
-63	-47
-9	-26
-25	-40
-61	-52
-19	-33
-5	-33
-56	-51
-37	-37
5	-26
-43	-45
-55	-45
-3	-24
-24	-38
-60	-47
-14	-27
-2	-27
-54	-47
-34	-34
7	-20
-39	-42
-49	-41
2	-22
-28	-39
-64	-50
-16	-32
-9	-35
-59	-53
-34	-38
7	-23
-41	-43
-46	-39
9	-20
-17	-37
-45	-42
2	-18
6	-19
-40	-36
-16	-22
17	-14
-35	-37
-34	-32
19	-11
-9	-29
-35	-36
15	-15
12	-22
-39	-38
-9	-22
25	-14
-25	-37
-22	-32
29	-13
-8	-34
-34	-39
16	-20
13	-30
-34	-44
-4	-23
27	-12
-22	-33
-19	-26
29	-8
-9	-27
-31	-32
22	-8
16	-16
-28	-32
7	-16
31	-11
-20	-32
-12	-26
37	-9
0	-29
-20	-32
31	-11
17	-25
-27	-40
7	-26
31	-21
-22	-40
-11	-27
37	-10
-6	-30
-20	-31
36	-9
19	-21
-23	-35
19	-15
38	-13
-14	-32
-1	-21
42	-6
-2	-24
-19	-23
32	-2
11	-17
-31	-34
8	-14
24	-14
-25	-35
-7	-24
35	-12
-15	-37
-27	-35
28	-11
9	-25
-25	-37
19	-17
29	-16
-23	-33
-5	-20
32	-7
-18	-29
-33	-31
15	-13
-10	-29
-42	-37
2	-14
8	-18
-44	-38
-21	-26
16	-17
-29	-39
-32	-38
22	-18
-3	-33
-39	-42
6	-19
12	-22
-36	-38
-13	-25
23	-14
-27	-33
-31	-28
19	-6
-11	-24
-43	-34
6	-12
8	-17
-38	-34
-8	-19
25	-10
-25	-30
-26	-25
27	-8
-5	-27
-33	-36
18	-15
15	-23
-30	-39
1	-19
32	-7
-20	-27
-19	-20
30	1
-8	-19
-36	-25
14	-4
10	-10
-34	-26
0	-9
24	-4
-33	-27
-30	-17
17	-1
-20	-18
-42	-23
9	-3
-1	-14
-45	-32
-10	-14
15	-9
-36	-29
-25	-19
26	-1
-12	-21
-29	-25
27	-1
14	-11
-29	-23
8	-5
28	-3
-26	-28
-13	-19
34	-6
-8	-28
-27	-29
26	-7
7	-21
-34	-35
7	-16
27	-12
-22	-32
-6	-21
40	-5
-5	-24
-20	-23
33	0
14	-12
-22	-24
24	-4
36	-3
-15	-24
3	-13
42	-1
-7	-24
-16	-24
38	0
11	-13
-30	-23
9	-6
18	-8
-34	-30
-15	-18
22	-6
-25	-30
-30	-28
23	-8
-1	-25
-34	-34
11	-13
14	-15
-35	-30
-11	-13
25	-3
-25	-23
-28	-19
29	3
-1	-13
-33	-19
14	-1
14	-7
-38	-26
-14	-13
18	-4
-33	-30
-37	-27
13	-10
-19	-29
-45	-34
4	-11
4	-14
-45	-30
-15	-14
16	-5
-34	-26
-29	-22
22	-5
-15	-23
-41	-29
11	-6
5	-12
-40	-25
-6	-8
23	-2
-27	-25
-21	-17
27	-1
-12	-20
-35	-24
17	-3
6	-13
-39	-29
-4	-10
17	-4
-35	-25
-29	-19
19	-3
-8	-9
-18	-2
46	29
49	33
23	35
74	67
114	83
77	70
101	88
157	111
115	95
102	99
163	127
142	112
103	99
143	120
156	124
103	102
118	110
156	122
104	96
88	91
137	106
116	91
73	77
110	92
129	92
77	68
90	74
127	82
74	57
55	51
104	68
75	54
37	46
79	67
89	64
39	45
55	58
95	70
45	48
35	47
87	67
57	49
16	35
63	55
67	50
10	28
30	41
72	53
23	28
19	28
73	49
47	36
12	28
62	50
67	47
12	28
34	45
68	53
16	29
10	30
65	48
37	30
2	19
51	40
51	31
-2	10
26	22
59	34
5	14
1	19
49	35
16	14
-12	7
40	30
34	24
-14	5
21	18
52	25
0	4
0	8
48	22
12	10
-6	10
50	37
41	30
-9	15
21	35
56	44
13	22
20	29
68	47
21	24
-7	18
46	41
39	32
-4	14
31	29
55	31
-3	8
2	17
50	35
1	11
-19	5
35	28
16	14
-27	-3
13	15
29	12
-22	-12
-10	-4
31	12
-14	-11
-23	-10
35	10
16	-2
-29	-14
7	7
22	5
-37	-17
-24	-6
23	9
-22	-18
-40	-21
16	0
-3	-13
-41	-25
2	-4
14	-1
-40	-24
-23	-14
19	-2
-34	-24
-50	-25
-2	-10
-31	-28
-61	-26
-10	-1
0	-1
-50	-19
-27	-6
13	2
-37	-25
-50	-28
5	-5
-22	-18
-57	-25
-8	-2
-1	-2
-52	-21
-27	-5
12	8
-37	-13
-45	-12
7	6
-29	-12
-63	-22
-12	-2
-10	-6
-58	-27
-31	-15
7	-4
-46	-27
-49	-22
6	-1
-27	-21
-56	-31
-7	-7
-7	-12
-54	-28
-24	-11
8	-4
-40	-27
-33	-17
18	2
-25	-17
-54	-24
-2	-2
-12	-11
-59	-25
-20	-10
4	-5
-50	-30
-44	-26
10	-6
-25	-28
-48	-32
0	-9
-11	-20
-68	-40
-28	-23
3	-17
-51	-40
-35	-33
25	-12
-17	-28
-47	-26
5	-3
-9	-17
-48	-28
-7	-9
19	-5
-24	-25
-3	-11
49	13
19	7
17	19
87	55
100	63
101	72
171	110
214	127
182	130
221	162
276	191
216	179
225	192
304	223
287	217
242	204
270	216
270	210
221	183
215	178
230	176
212	151
193	148
218	161
184	136
131	116
180	132
179	122
116	96
115	99
126	103
67	75
59	70
101	74
60	48
27	33
67	47
72	33
17	12
33	23
58	32
8	10
3	12
45	27
6	6
-27	-3
22	17
16	12
-31	-8
-2	1
23	5
-31	-17
-39	-16
7	-2
-29	-18
-56	-24
-15	-3
-18	-14
-67	-29
-37	-12
-11	-8
-59	-33
-63	-28
-7	-12
-39	-31
-64	-35
-17	-15
-27	-23
-69	-38
-33	-21
-3	-16
-53	-38
-44	-31
2	-16
-39	-33
-67	-35
-12	-14
-24	-28
-67	-44
-35	-28
-20	-25
-73	-41
-68	-33
-11	-17
-45	-39
-62	-45
-17	-24
-31	-36
-64	-49
-21	-31
-4	-26
-58	-46
-46	-38
-6	-24
-52	-45
-61	-46
-9	-23
-37	-36
-74	-48
-18	-27
4	-24
-50	-44
-40	-35
-6	-23
-51	-42
-64	-42
-17	-23
-42	-40
-78	-49
-41	-30
-29	-30
-79	-51
-45	-39
3	-26
-46	-46
-57	-42
-8	-22
-34	-36
-67	-45
-22	-27
-18	-31
-67	-48
-49	-35
-10	-25
-54	-45
-55	-40
-11	-21
-41	-39
-71	-49
-33	-30
-36	-37
-73	-53
-46	-40
-6	-31
-51	-51
-56	-47
-15	-29
-47	-47
-74	-55
-27	-34
-27	-40
-80	-55
-50	-41
-19	-34
-65	-54
-64	-46
-16	-26
